symbol,direction,entry_price,qty,sl_price,tp_price,entry_time,exit_time,exit_price,pnl_pct,pnl_usd,status,scan_count,max_price,min_price,reason
ZEC/USDT:USDT,-1,372.72272399999997,13.414797859225777,378.47597229977043,358.3396032505739,2026-04-10T17:15:45.205972+00:00,,,,,open,0,372.72272399999997,372.72272399999997,
ARIA/USDT:USDT,1,0.55015501,9088.347664051991,0.5336503597,0.59141663575,2026-04-10T17:15:47.626163+00:00,,,,,open,0,0.55015501,0.55015501,
SIREN/USDT:USDT,1,0.697199713,7171.546268264169,0.6806282692016489,0.7386283224958782,2026-04-10T17:15:49.633219+00:00,,,,,open,0,0.697199713,0.697199713,
BULLA/USDT:USDT,-1,0.007933206600000001,630262.1691460802,0.008171202798000002,0.007338216105000001,2026-04-10T17:15:51.465417+00:00,,,,,open,0,0.007933206600000001,0.007933206600000001,
ENA/USDT:USDT,1,0.09670967,51701.13805579111,0.0954562868631893,0.09984312784202674,2026-04-10T17:15:53.064525+00:00,,,,,open,0,0.09670967,0.09670967,
ZEC/USDT:USDT,-1,372.72272399999997,13.414797859225777,378.47597229977043,358.3396032505739,2026-04-10T17:15:45.205972+00:00,2026-04-10T17:15:56.563841+00:00,378.47597229977043,-1.5435732595071028,-77.17866297535514,closed,1,394.0,329.05,STOP_LOSS
ARIA/USDT:USDT,1,0.55015501,9088.347664051991,0.5336503597,0.59141663575,2026-04-10T17:15:47.626163+00:00,2026-04-10T17:15:57.312586+00:00,0.5336503597,-3.000000000000006,-148.84232005536998,closed,1,0.6,0.3344,STOP_LOSS
SIREN/USDT:USDT,1,0.697199713,7171.546268264169,0.6806282692016489,0.7386283224958782,2026-04-10T17:15:49.633219+00:00,2026-04-10T17:15:58.068533+00:00,0.6806282692016489,-2.3768575186362964,-116.15677756738408,closed,1,0.84372,0.62232,STOP_LOSS
BULLA/USDT:USDT,-1,0.007933206600000001,630262.1691460802,0.008171202798000002,0.007338216105000001,2026-04-10T17:15:51.465417+00:00,2026-04-10T17:16:00.707683+00:00,0.008171202798000002,-3.0000000000000098,-144.86733359102882,closed,1,0.0215,0.00777,STOP_LOSS
ENA/USDT:USDT,1,0.09670967,51701.13805579111,0.0954562868631893,0.09984312784202674,2026-04-10T17:15:53.064525+00:00,2026-04-10T17:16:01.349179+00:00,0.0954562868631893,-1.2960266918610088,-61.64521738200503,closed,1,0.0989,0.0901,STOP_LOSS
BTC/USDT:USDT,1,72854.88476,0.06862957805054663,72126.3359124,74676.25687900001,2026-04-10T17:21:35.799935+00:00,,,,,open,0,72854.88476,72854.88476,
XAG/USDT:USDT,1,76.397639,65.44704869740805,75.63366261,78.307579975,2026-04-10T17:21:38.319859+00:00,,,,,open,0,76.397639,76.397639,
XAU/USDT:USDT,1,4767.346687,1.0488014252528388,4719.67322013,4886.530354175,2026-04-10T17:21:39.615940+00:00,,,,,open,0,4767.346687,4767.346687,
DASH/USDT:USDT,1,43.854385,114.0136841503991,42.53875345,47.143463875,2026-04-10T17:21:41.709496+00:00,,,,,open,0,43.854385,43.854385,
ZEC/USDT:USDT,-1,372.72272399999997,13.414797859225777,378.47597229977043,358.3396032505739,2026-04-10T17:15:45.205972+00:00,2026-04-10T17:21:46.047943+00:00,378.47597229977043,-1.5435732595071028,-77.17866297535514,closed,1,394.0,329.05,STOP_LOSS
ARIA/USDT:USDT,1,0.55015501,9088.347664051991,0.5336503597,0.59141663575,2026-04-10T17:15:47.626163+00:00,2026-04-10T17:21:46.708245+00:00,0.5336503597,-3.000000000000006,-148.84232005536998,closed,1,0.6,0.3344,STOP_LOSS
SIREN/USDT:USDT,1,0.697199713,7171.546268264169,0.6806282692016489,0.7386283224958782,2026-04-10T17:15:49.633219+00:00,2026-04-10T17:21:48.006230+00:00,0.6806282692016489,-2.3768575186362964,-116.15677756738408,closed,1,0.84372,0.62232,STOP_LOSS
BULLA/USDT:USDT,-1,0.007933206600000001,630262.1691460802,0.008171202798000002,0.007338216105000001,2026-04-10T17:15:51.465417+00:00,2026-04-10T17:21:48.606699+00:00,0.008171202798000002,-3.0000000000000098,-144.86733359102882,closed,1,0.0215,0.007701,STOP_LOSS
ENA/USDT:USDT,1,0.09670967,51701.13805579111,0.0954562868631893,0.09984312784202674,2026-04-10T17:15:53.064525+00:00,2026-04-10T17:21:49.209521+00:00,0.0954562868631893,-1.2960266918610088,-61.64521738200503,closed,1,0.0989,0.0901,STOP_LOSS
BTC/USDT:USDT,1,72854.88476,0.06862957805054663,72126.3359124,74676.25687900001,2026-04-10T17:21:35.799935+00:00,2026-04-10T17:21:49.844488+00:00,72126.3359124,-1.0000000000000038,-47.256548442144464,closed,1,73255.7,71382.1,STOP_LOSS
XAG/USDT:USDT,1,76.397639,65.44704869740805,75.63366261,78.307579975,2026-04-10T17:21:38.319859+00:00,2026-04-10T17:21:50.523134+00:00,75.63366261,-0.9999999999999951,-47.02026569993333,closed,1,76.88,74.84,STOP_LOSS
DASH/USDT:USDT,1,43.854385,114.0136841503991,42.53875345,47.143463875,2026-04-10T17:21:41.709496+00:00,2026-04-10T17:21:51.308455+00:00,42.53875345,-2.999999999999998,-140.35549311430157,closed,1,45.86,32.56,STOP_LOSS
XAU/USDT:USDT,1,4767.346687,1.0488014252528388,4719.67322013,4886.530354175,2026-04-10T17:21:39.615940+00:00,2026-04-10T17:25:21.919248+00:00,4764.59,-0.05782434509152063,-2.6647416674306497,closed,1,4797.45,4731.76,MANUAL_STOP
